p_id,piece,marker,count,difficulty,liking,GMS.general,gender,age,language,d,m
OP39,2,230.348,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,236.813,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,249.658,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,266.732,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,285.078,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,293.369,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,314.986,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,332.859,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,343.531,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,352.929,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,356.4,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,369.397,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,387.924,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,403.426,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,414.905,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP39,2,424.596,40,4,5,3.16666666666667,female,63.6666666666667,de,10.1728205128205,424.596
OP01,2,26.411,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,37.435,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,65.308,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,86.179,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,130.819,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,186.871,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,196.626,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,231.611,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,252.554,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,267.243,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,285.984,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,292.669,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,313.043,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,352.838,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,388.966,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP01,2,422.034,16,2,5,4.94444444444444,male,26.5833333333333,de,26.3748666666667,422.034
OP82,2,7.198,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,4.923,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,9.189,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,2.337,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,1.202,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,6.635,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,5.045,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,9.595,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,6.528,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,6.451,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,4.172,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,2.53,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,4.977,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,2.668,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,7.738,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,2.736,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,6.817,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,10.249,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,6.429,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,4.855,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,6.936,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,2.888,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
